,Location,mean_score
0,"alabama,cleburne",
1,"alabama,coosa",
2,"alabama,henry",
3,"alabama,lamar",
4,"alabama,lowndes",
5,"alabama,macon",
6,"alabama,perry",
7,"alabama,pickens",
8,"arizona,greenlee",
9,"arkansas,calhoun",
10,"arkansas,cleveland",
11,"arkansas,grant",
12,"arkansas,izard",
13,"arkansas,jackson",
14,"arkansas,lafayette",
15,"arkansas,lee",
16,"arkansas,lincoln",
17,"arkansas,lonoke",
18,"arkansas,madison",
19,"arkansas,marion",
20,"arkansas,miller",
21,"arkansas,monroe",
22,"arkansas,montgomery",
23,"arkansas,nevada",
24,"arkansas,newton",
25,"arkansas,perry",
26,"arkansas,pike",
27,"arkansas,poinsett",
28,"arkansas,prairie",
29,"arkansas,searcy",
30,"arkansas,sevier",
31,"arkansas,sharp",
32,"arkansas,woodruff",
33,"california,alpine",
34,"california,san benito",
35,"california,sierra",
36,"colorado,bent",
37,"colorado,clear creek",
38,"colorado,costilla",
39,"colorado,crowley",
40,"colorado,custer",
41,"colorado,dolores",
42,"colorado,elbert",
43,"colorado,gilpin",
44,"colorado,hinsdale",
45,"colorado,jackson",
46,"colorado,mineral",
47,"colorado,ouray",
48,"colorado,park",
49,"colorado,saguache",
50,"colorado,san juan",
51,"colorado,san miguel",
52,"colorado,washington",
53,"florida,bradford",
54,"florida,dixie",
55,"florida,gilchrist",
56,"florida,glades",
57,"florida,hamilton",
58,"florida,jefferson",
59,"florida,lafayette",
60,"florida,levy",
61,"florida,liberty",
62,"florida,sumter",
63,"florida,suwannee",
64,"florida,wakulla",
65,"georgia,baker",
66,"georgia,banks",
67,"georgia,brantley",
68,"georgia,bryan",
69,"georgia,calhoun",
70,"georgia,charlton",
71,"georgia,chattooga",
72,"georgia,clay",
73,"georgia,coffee",
74,"georgia,columbia",
75,"georgia,crawford",
76,"georgia,dade",
77,"georgia,dawson",
78,"georgia,echols",
79,"georgia,gilmer",
80,"georgia,glascock",
81,"georgia,hancock",
82,"georgia,harris",
83,"georgia,hart",
84,"georgia,heard",
85,"georgia,johnson",
86,"georgia,jones",
87,"georgia,lamar",
88,"georgia,lee",
89,"georgia,lincoln",
90,"georgia,long",
91,"georgia,mcintosh",
92,"georgia,macon",
93,"georgia,madison",
94,"georgia,marion",
95,"georgia,montgomery",
96,"georgia,oconee",
97,"georgia,oglethorpe",
98,"georgia,pierce",
99,"georgia,pike",
100,"georgia,quitman",
101,"georgia,randolph",
102,"georgia,schley",
103,"georgia,stewart",
104,"georgia,talbot",
105,"georgia,taliaferro",
106,"georgia,taylor",
107,"georgia,telfair",
108,"georgia,terrell",
109,"georgia,treutlen",
110,"georgia,turner",
111,"georgia,twiggs",
112,"georgia,walker",
113,"georgia,warren",
114,"georgia,webster",
115,"georgia,wheeler",
116,"georgia,white",
